decor_id,theme_id,event_types,category,item_name,description,indoor_outdoor,space_requirement,placement_zone,quantity_rule,color_options,material,rental_or_purchase,safety_notes,ar_asset_key,search_terms
whimsical-kids-decor-03,whimsical-kids,kids-birthday;school-event;family-party,lighting,Child-height activity table covers,Child-height activity table covers selected in the Whimsical Kids palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;covered-outdoor,adapt to measured table or perimeter,perimeter or overhead only where venue-approved,1 strand or fixture per 1.5-2 m of decorated perimeter,#FFB3C6;#9AD0F5;#FFE08A;#A7E3A1;#FFFFFF,foam board;matte balloons;washable fabric;paper;acrylic,rental-or-purchase,Use low-heat LEDs; secure cords; no open flame near fabric or children.,decor/whimsical-kids/lighting-01,Child-height activity table covers;Whimsical Kids;event decor;party rental
whimsical-kids-decor-04,whimsical-kids,kids-birthday;school-event;family-party,table-setting,Large cardboard storybook props,Large cardboard storybook props selected in the Whimsical Kids palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,guest tables or cake-table surface,1 runner per table or 3-5 small items per round guest table,#FFB3C6;#9AD0F5;#FFE08A;#A7E3A1;#FFFFFF,foam board;matte balloons;washable fabric;paper;acrylic,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/whimsical-kids/table-setting-01,Large cardboard storybook props;Whimsical Kids;event decor;party rental
whimsical-kids-decor-05,whimsical-kids,kids-birthday;school-event;family-party,signage,Personalized age-and-name floor sign,Personalized age-and-name floor sign selected in the Whimsical Kids palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,entrance or focal-area edge at eye level,1 main sign plus optional table labels,#FFB3C6;#9AD0F5;#FFE08A;#A7E3A1;#FFFFFF,foam board;matte balloons;washable fabric;paper;acrylic,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/whimsical-kids/signage-01,Personalized age-and-name floor sign;Whimsical Kids;event decor;party rental
beach-coastal-decor-01,beach-coastal,wedding;birthday;engagement;bridal-shower;summer-party,backdrop,Aqua-to-white fabric backdrop,Aqua-to-white fabric backdrop selected in the Beach Coastal palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,clear focal wall at least 2.0 m wide,focal wall behind cake or couple,1 focal unit per setup,#EAF6FA;#8EC5D6;#2F6F89;#E8D5B5;#FFFFFF,linen;driftwood-look wood;glass;rope;ceramic,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/beach-coastal/backdrop-01,Aqua-to-white fabric backdrop;Beach Coastal;event decor;party rental
beach-coastal-decor-02,beach-coastal,wedding;birthday;engagement;bridal-shower;summer-party,floor-arrangement,Light wood welcome sign,Light wood welcome sign selected in the Beach Coastal palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,0.6-1.0 m floor zone outside circulation,two sides of focal area outside walking path,2 balanced clusters for a small setup; 3-5 for a wide stage,#EAF6FA;#8EC5D6;#2F6F89;#E8D5B5;#FFFFFF,linen;driftwood-look wood;glass;rope;ceramic,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/beach-coastal/floor-arrangement-01,Light wood welcome sign;Beach Coastal;event decor;party rental
beach-coastal-decor-03,beach-coastal,wedding;birthday;engagement;bridal-shower;summer-party,lighting,Clear glass cylinder vases with sea-glass beads,Clear glass cylinder vases with sea-glass beads selected in the Beach Coastal palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;covered-outdoor,adapt to measured table or perimeter,perimeter or overhead only where venue-approved,1 strand or fixture per 1.5-2 m of decorated perimeter,#EAF6FA;#8EC5D6;#2F6F89;#E8D5B5;#FFFFFF,linen;driftwood-look wood;glass;rope;ceramic,rental-or-purchase,Use low-heat LEDs; secure cords; no open flame near fabric or children.,decor/beach-coastal/lighting-01,Clear glass cylinder vases with sea-glass beads;Beach Coastal;event decor;party rental
beach-coastal-decor-04,beach-coastal,wedding;birthday;engagement;bridal-shower;summer-party,table-setting,Natural rope napkin rings,Natural rope napkin rings selected in the Beach Coastal palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,guest tables or cake-table surface,1 runner per table or 3-5 small items per round guest table,#EAF6FA;#8EC5D6;#2F6F89;#E8D5B5;#FFFFFF,linen;driftwood-look wood;glass;rope;ceramic,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/beach-coastal/table-setting-01,Natural rope napkin rings;Beach Coastal;event decor;party rental
beach-coastal-decor-05,beach-coastal,wedding;birthday;engagement;bridal-shower;summer-party,signage,Blue linen table runners,Blue linen table runners selected in the Beach Coastal palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,entrance or focal-area edge at eye level,1 main sign plus optional table labels,#EAF6FA;#8EC5D6;#2F6F89;#E8D5B5;#FFFFFF,linen;driftwood-look wood;glass;rope;ceramic,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/beach-coastal/signage-01,Blue linen table runners;Beach Coastal;event decor;party rental
industrial-decor-01,industrial,corporate;birthday;wedding;product-launch;graduation,backdrop,Black pipe-frame backdrop,Black pipe-frame backdrop selected in the Industrial palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,clear focal wall at least 2.0 m wide,focal wall behind cake or couple,1 focal unit per setup,#353535;#77736E;#B65E3C;#D8C8B6;#F4F1EA,black steel;wood;concrete-look board;leather;glass,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/industrial/backdrop-01,Black pipe-frame backdrop;Industrial;event decor;party rental
industrial-decor-02,industrial,corporate;birthday;wedding;product-launch;graduation,floor-arrangement,Warm filament-look LED string lights,Warm filament-look LED string lights selected in the Industrial palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,0.6-1.0 m floor zone outside circulation,two sides of focal area outside walking path,2 balanced clusters for a small setup; 3-5 for a wide stage,#353535;#77736E;#B65E3C;#D8C8B6;#F4F1EA,black steel;wood;concrete-look board;leather;glass,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/industrial/floor-arrangement-01,Warm filament-look LED string lights;Industrial;event decor;party rental
industrial-decor-03,industrial,corporate;birthday;wedding;product-launch;graduation,lighting,Concrete-look cake plinth,Concrete-look cake plinth selected in the Industrial palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;covered-outdoor,adapt to measured table or perimeter,perimeter or overhead only where venue-approved,1 strand or fixture per 1.5-2 m of decorated perimeter,#353535;#77736E;#B65E3C;#D8C8B6;#F4F1EA,black steel;wood;concrete-look board;leather;glass,rental-or-purchase,Use low-heat LEDs; secure cords; no open flame near fabric or children.,decor/industrial/lighting-01,Concrete-look cake plinth;Industrial;event decor;party rental
industrial-decor-04,industrial,corporate;birthday;wedding;product-launch;graduation,table-setting,Black metal mesh signage panel,Black metal mesh signage panel selected in the Industrial palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,guest tables or cake-table surface,1 runner per table or 3-5 small items per round guest table,#353535;#77736E;#B65E3C;#D8C8B6;#F4F1EA,black steel;wood;concrete-look board;leather;glass,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/industrial/table-setting-01,Black metal mesh signage panel;Industrial;event decor;party rental
industrial-decor-05,industrial,corporate;birthday;wedding;product-launch;graduation,signage,Reclaimed-wood-look communal table runners,Reclaimed-wood-look communal table runners selected in the Industrial palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,entrance or focal-area edge at eye level,1 main sign plus optional table labels,#353535;#77736E;#B65E3C;#D8C8B6;#F4F1EA,black steel;wood;concrete-look board;leather;glass,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/industrial/signage-01,Reclaimed-wood-look communal table runners;Industrial;event decor;party rental
floral-romantic-decor-01,floral-romantic,wedding;engagement;anniversary;bridal-shower;birthday,backdrop,Blush chiffon draped arch,Blush chiffon draped arch selected in the Floral Romantic palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,clear focal wall at least 2.0 m wide,focal wall behind cake or couple,1 focal unit per setup,#F3D7DE;#E8C7B4;#A8B99A;#6E8061;#FFFDF8,silk-look florals;chiffon;glass;linen;light wood,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/floral-romantic/backdrop-01,Blush chiffon draped arch;Floral Romantic;event decor;party rental
floral-romantic-decor-02,floral-romantic,wedding;engagement;anniversary;bridal-shower;birthday,floor-arrangement,Rose-and-greenery table garland,Rose-and-greenery table garland selected in the Floral Romantic palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,0.6-1.0 m floor zone outside circulation,two sides of focal area outside walking path,2 balanced clusters for a small setup; 3-5 for a wide stage,#F3D7DE;#E8C7B4;#A8B99A;#6E8061;#FFFDF8,silk-look florals;chiffon;glass;linen;light wood,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/floral-romantic/floor-arrangement-01,Rose-and-greenery table garland;Floral Romantic;event decor;party rental
floral-romantic-decor-03,floral-romantic,wedding;engagement;anniversary;bridal-shower;birthday,lighting,Clear cylinder vases with floating LED candles,Clear cylinder vases with floating LED candles selected in the Floral Romantic palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;covered-outdoor,adapt to measured table or perimeter,perimeter or overhead only where venue-approved,1 strand or fixture per 1.5-2 m of decorated perimeter,#F3D7DE;#E8C7B4;#A8B99A;#6E8061;#FFFDF8,silk-look florals;chiffon;glass;linen;light wood,rental-or-purchase,Use low-heat LEDs; secure cords; no open flame near fabric or children.,decor/floral-romantic/lighting-01,Clear cylinder vases with floating LED candles;Floral Romantic;event decor;party rental
floral-romantic-decor-04,floral-romantic,wedding;engagement;anniversary;bridal-shower;birthday,table-setting,Floral chair-back ties,Floral chair-back ties selected in the Floral Romantic palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,guest tables or cake-table surface,1 runner per table or 3-5 small items per round guest table,#F3D7DE;#E8C7B4;#A8B99A;#6E8061;#FFFDF8,silk-look florals;chiffon;glass;linen;light wood,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/floral-romantic/table-setting-01,Floral chair-back ties;Floral Romantic;event decor;party rental
floral-romantic-decor-05,floral-romantic,wedding;engagement;anniversary;bridal-shower;birthday,signage,Ivory linen and blush napkin set,Ivory linen and blush napkin set selected in the Floral Romantic palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,entrance or focal-area edge at eye level,1 main sign plus optional table labels,#F3D7DE;#E8C7B4;#A8B99A;#6E8061;#FFFDF8,silk-look florals;chiffon;glass;linen;light wood,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/floral-romantic/signage-01,Ivory linen and blush napkin set;Floral Romantic;event decor;party rental
retro-70s-decor-01,retro-70s,birthday;corporate;graduation;anniversary;themed-party,backdrop,Orange wavy foam-board backdrop,Orange wavy foam-board backdrop selected in the Retro 70s palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,clear focal wall at least 2.0 m wide,focal wall behind cake or couple,1 focal unit per setup,#F28C28;#D94F30;#E8C547;#6B7A3A;#FFF2D8,vinyl;acrylic;velvet;paper;mirror tiles,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/retro-70s/backdrop-01,Orange wavy foam-board backdrop;Retro 70s;event decor;party rental
retro-70s-decor-02,retro-70s,birthday;corporate;graduation;anniversary;themed-party,floor-arrangement,Disco-ball ornament cluster hung securely,Disco-ball ornament cluster hung securely selected in the Retro 70s palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,0.6-1.0 m floor zone outside circulation,two sides of focal area outside walking path,2 balanced clusters for a small setup; 3-5 for a wide stage,#F28C28;#D94F30;#E8C547;#6B7A3A;#FFF2D8,vinyl;acrylic;velvet;paper;mirror tiles,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/retro-70s/floor-arrangement-01,Disco-ball ornament cluster hung securely;Retro 70s;event decor;party rental
retro-70s-decor-03,retro-70s,birthday;corporate;graduation;anniversary;themed-party,lighting,Mustard and rust table linen set,Mustard and rust table linen set selected in the Retro 70s palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;covered-outdoor,adapt to measured table or perimeter,perimeter or overhead only where venue-approved,1 strand or fixture per 1.5-2 m of decorated perimeter,#F28C28;#D94F30;#E8C547;#6B7A3A;#FFF2D8,vinyl;acrylic;velvet;paper;mirror tiles,rental-or-purchase,Use low-heat LEDs; secure cords; no open flame near fabric or children.,decor/retro-70s/lighting-01,Mustard and rust table linen set;Retro 70s;event decor;party rental
retro-70s-decor-04,retro-70s,birthday;corporate;graduation;anniversary;themed-party,table-setting,Retro daisy acrylic signage,Retro daisy acrylic signage selected in the Retro 70s palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,guest tables or cake-table surface,1 runner per table or 3-5 small items per round guest table,#F28C28;#D94F30;#E8C547;#6B7A3A;#FFF2D8,vinyl;acrylic;velvet;paper;mirror tiles,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/retro-70s/table-setting-01,Retro daisy acrylic signage;Retro 70s;event decor;party rental
retro-70s-decor-05,retro-70s,birthday;corporate;graduation;anniversary;themed-party,signage,Checkerboard dance-floor decal zone,Checkerboard dance-floor decal zone selected in the Retro 70s palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,entrance or focal-area edge at eye level,1 main sign plus optional table labels,#F28C28;#D94F30;#E8C547;#6B7A3A;#FFF2D8,vinyl;acrylic;velvet;paper;mirror tiles,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/retro-70s/signage-01,Checkerboard dance-floor decal zone;Retro 70s;event decor;party rental
winter-wonderland-decor-01,winter-wonderland,wedding;birthday;corporate;holiday-party;engagement,backdrop,White layered curtain backdrop,White layered curtain backdrop selected in the Winter Wonderland palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,clear focal wall at least 2.0 m wide,focal wall behind cake or couple,1 focal unit per setup,#FFFFFF;#DCECF5;#A9C5D8;#BFC4CC;#244A66,acrylic;white fabric;frosted glass;mirror;paper,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/winter-wonderland/backdrop-01,White layered curtain backdrop;Winter Wonderland;event decor;party rental
winter-wonderland-decor-02,winter-wonderland,wedding;birthday;corporate;holiday-party;engagement,floor-arrangement,Clear acrylic snowflake hangings,Clear acrylic snowflake hangings selected in the Winter Wonderland palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,0.6-1.0 m floor zone outside circulation,two sides of focal area outside walking path,2 balanced clusters for a small setup; 3-5 for a wide stage,#FFFFFF;#DCECF5;#A9C5D8;#BFC4CC;#244A66,acrylic;white fabric;frosted glass;mirror;paper,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/winter-wonderland/floor-arrangement-01,Clear acrylic snowflake hangings;Winter Wonderland;event decor;party rental
winter-wonderland-decor-03,winter-wonderland,wedding;birthday;corporate;holiday-party;engagement,lighting,Frosted glass LED candleholders,Frosted glass LED candleholders selected in the Winter Wonderland palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;covered-outdoor,adapt to measured table or perimeter,perimeter or overhead only where venue-approved,1 strand or fixture per 1.5-2 m of decorated perimeter,#FFFFFF;#DCECF5;#A9C5D8;#BFC4CC;#244A66,acrylic;white fabric;frosted glass;mirror;paper,rental-or-purchase,Use low-heat LEDs; secure cords; no open flame near fabric or children.,decor/winter-wonderland/lighting-01,Frosted glass LED candleholders;Winter Wonderland;event decor;party rental
winter-wonderland-decor-04,winter-wonderland,wedding;birthday;corporate;holiday-party;engagement,table-setting,White branch centerpiece with micro LEDs,White branch centerpiece with micro LEDs selected in the Winter Wonderland palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,guest tables or cake-table surface,1 runner per table or 3-5 small items per round guest table,#FFFFFF;#DCECF5;#A9C5D8;#BFC4CC;#244A66,acrylic;white fabric;frosted glass;mirror;paper,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/winter-wonderland/table-setting-01,White branch centerpiece with micro LEDs;Winter Wonderland;event decor;party rental
winter-wonderland-decor-05,winter-wonderland,wedding;birthday;corporate;holiday-party;engagement,signage,Pale blue table linen set,Pale blue table linen set selected in the Winter Wonderland palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,entrance or focal-area edge at eye level,1 main sign plus optional table labels,#FFFFFF;#DCECF5;#A9C5D8;#BFC4CC;#244A66,acrylic;white fabric;frosted glass;mirror;paper,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/winter-wonderland/signage-01,Pale blue table linen set;Winter Wonderland;event decor;party rental
south-asian-mehndi-decor-01,south-asian-mehndi,mehndi;mayun;engagement;wedding;birthday,backdrop,Yellow and pink fabric-panel backdrop,Yellow and pink fabric-panel backdrop selected in the South Asian Mehndi palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,clear focal wall at least 2.0 m wide,focal wall behind cake or couple,1 focal unit per setup,#F6B51B;#F26B21;#D62D58;#2F8F5B;#7B3FA1,printed fabric;marigold-look garlands;wood;brass-look metal;embroidered cushions,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/south-asian-mehndi/backdrop-01,Yellow and pink fabric-panel backdrop;South Asian Mehndi;event decor;party rental
south-asian-mehndi-decor-02,south-asian-mehndi,mehndi;mayun;engagement;wedding;birthday,floor-arrangement,Artificial marigold garland strings,Artificial marigold garland strings selected in the South Asian Mehndi palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,0.6-1.0 m floor zone outside circulation,two sides of focal area outside walking path,2 balanced clusters for a small setup; 3-5 for a wide stage,#F6B51B;#F26B21;#D62D58;#2F8F5B;#7B3FA1,printed fabric;marigold-look garlands;wood;brass-look metal;embroidered cushions,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/south-asian-mehndi/floor-arrangement-01,Artificial marigold garland strings;South Asian Mehndi;event decor;party rental
south-asian-mehndi-decor-03,south-asian-mehndi,mehndi;mayun;engagement;wedding;birthday,lighting,Embroidered floor-cushion seating set,Embroidered floor-cushion seating set selected in the South Asian Mehndi palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;covered-outdoor,adapt to measured table or perimeter,perimeter or overhead only where venue-approved,1 strand or fixture per 1.5-2 m of decorated perimeter,#F6B51B;#F26B21;#D62D58;#2F8F5B;#7B3FA1,printed fabric;marigold-look garlands;wood;brass-look metal;embroidered cushions,rental-or-purchase,Use low-heat LEDs; secure cords; no open flame near fabric or children.,decor/south-asian-mehndi/lighting-01,Embroidered floor-cushion seating set;South Asian Mehndi;event decor;party rental
south-asian-mehndi-decor-04,south-asian-mehndi,mehndi;mayun;engagement;wedding;birthday,table-setting,Painted wooden dholki prop,Painted wooden dholki prop selected in the South Asian Mehndi palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,guest tables or cake-table surface,1 runner per table or 3-5 small items per round guest table,#F6B51B;#F26B21;#D62D58;#2F8F5B;#7B3FA1,printed fabric;marigold-look garlands;wood;brass-look metal;embroidered cushions,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/south-asian-mehndi/table-setting-01,Painted wooden dholki prop;South Asian Mehndi;event decor;party rental
south-asian-mehndi-decor-05,south-asian-mehndi,mehndi;mayun;engagement;wedding;birthday,signage,Colorful parasol-style ceiling hangings,Colorful parasol-style ceiling hangings selected in the South Asian Mehndi palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,entrance or focal-area edge at eye level,1 main sign plus optional table labels,#F6B51B;#F26B21;#D62D58;#2F8F5B;#7B3FA1,printed fabric;marigold-look garlands;wood;brass-look metal;embroidered cushions,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/south-asian-mehndi/signage-01,Colorful parasol-style ceiling hangings;South Asian Mehndi;event decor;party rental
south-asian-wedding-decor-01,south-asian-wedding,wedding;nikah;walima;engagement;reception,backdrop,Carved-look ivory stage panels,Carved-look ivory stage panels selected in the South Asian Wedding Elegance palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,clear focal wall at least 2.0 m wide,focal wall behind cake or couple,1 focal unit per setup,#7A1725;#D7B56D;#FFF4E0;#37543B;#D7A6A9,velvet;carved-look panels;brass-look metal;silk-look florals;chiffon,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/south-asian-wedding/backdrop-01,Carved-look ivory stage panels;South Asian Wedding Elegance;event decor;party rental
south-asian-wedding-decor-02,south-asian-wedding,wedding;nikah;walima;engagement;reception,floor-arrangement,Maroon velvet loveseat backdrop zone,Maroon velvet loveseat backdrop zone selected in the South Asian Wedding Elegance palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,0.6-1.0 m floor zone outside circulation,two sides of focal area outside walking path,2 balanced clusters for a small setup; 3-5 for a wide stage,#7A1725;#D7B56D;#FFF4E0;#37543B;#D7A6A9,velvet;carved-look panels;brass-look metal;silk-look florals;chiffon,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/south-asian-wedding/floor-arrangement-01,Maroon velvet loveseat backdrop zone;South Asian Wedding Elegance;event decor;party rental
south-asian-wedding-decor-03,south-asian-wedding,wedding;nikah;walima;engagement;reception,lighting,Gold pedestal floral arrangements,Gold pedestal floral arrangements selected in the South Asian Wedding Elegance palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;covered-outdoor,adapt to measured table or perimeter,perimeter or overhead only where venue-approved,1 strand or fixture per 1.5-2 m of decorated perimeter,#7A1725;#D7B56D;#FFF4E0;#37543B;#D7A6A9,velvet;carved-look panels;brass-look metal;silk-look florals;chiffon,rental-or-purchase,Use low-heat LEDs; secure cords; no open flame near fabric or children.,decor/south-asian-wedding/lighting-01,Gold pedestal floral arrangements;South Asian Wedding Elegance;event decor;party rental
south-asian-wedding-decor-04,south-asian-wedding,wedding;nikah;walima;engagement;reception,table-setting,Ivory aisle runner with LED candles,Ivory aisle runner with LED candles selected in the South Asian Wedding Elegance palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,guest tables or cake-table surface,1 runner per table or 3-5 small items per round guest table,#7A1725;#D7B56D;#FFF4E0;#37543B;#D7A6A9,velvet;carved-look panels;brass-look metal;silk-look florals;chiffon,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/south-asian-wedding/table-setting-01,Ivory aisle runner with LED candles;South Asian Wedding Elegance;event decor;party rental
south-asian-wedding-decor-05,south-asian-wedding,wedding;nikah;walima;engagement;reception,signage,Formal gold-and-ivory table settings,Formal gold-and-ivory table settings selected in the South Asian Wedding Elegance palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,entrance or focal-area edge at eye level,1 main sign plus optional table labels,#7A1725;#D7B56D;#FFF4E0;#37543B;#D7A6A9,velvet;carved-look panels;brass-look metal;silk-look florals;chiffon,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/south-asian-wedding/signage-01,Formal gold-and-ivory table settings;South Asian Wedding Elegance;event decor;party rental
arabian-majlis-decor-01,arabian-majlis,engagement;wedding;family-gathering;corporate;ramadan-iftar,backdrop,Emerald velvet low-seating cushions,Emerald velvet low-seating cushions selected in the Arabian Majlis palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,clear focal wall at least 2.0 m wide,focal wall behind cake or couple,1 focal unit per setup,#123C36;#C79A4A;#7A263A;#E7D7B8;#1F1A17,velvet;patterned textile;brass-look metal;wood;frosted glass,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/arabian-majlis/backdrop-01,Emerald velvet low-seating cushions;Arabian Majlis;event decor;party rental
arabian-majlis-decor-02,arabian-majlis,engagement;wedding;family-gathering;corporate;ramadan-iftar,floor-arrangement,Geometric arch backdrop panels,Geometric arch backdrop panels selected in the Arabian Majlis palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,0.6-1.0 m floor zone outside circulation,two sides of focal area outside walking path,2 balanced clusters for a small setup; 3-5 for a wide stage,#123C36;#C79A4A;#7A263A;#E7D7B8;#1F1A17,velvet;patterned textile;brass-look metal;wood;frosted glass,rental-or-purchase,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/arabian-majlis/floor-arrangement-01,Geometric arch backdrop panels;Arabian Majlis;event decor;party rental
arabian-majlis-decor-03,arabian-majlis,engagement;wedding;family-gathering;corporate;ramadan-iftar,lighting,Brass-look LED lantern grouping,Brass-look LED lantern grouping selected in the Arabian Majlis palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;covered-outdoor,adapt to measured table or perimeter,perimeter or overhead only where venue-approved,1 strand or fixture per 1.5-2 m of decorated perimeter,#123C36;#C79A4A;#7A263A;#E7D7B8;#1F1A17,velvet;patterned textile;brass-look metal;wood;frosted glass,rental-or-purchase,Use low-heat LEDs; secure cords; no open flame near fabric or children.,decor/arabian-majlis/lighting-01,Brass-look LED lantern grouping;Arabian Majlis;event decor;party rental
arabian-majlis-decor-04,arabian-majlis,engagement;wedding;family-gathering;corporate;ramadan-iftar,table-setting,Patterned area-rug zone,Patterned area-rug zone selected in the Arabian Majlis palette; use as a commercially rentable or purchasable decor component rather than a permanent building modification.,indoor;outdoor-if-weather-secured,adapt to measured table or perimeter,guest tables or cake-table surface,1 runner per table or 3-5 small items per round guest table,#123C36;#C79A4A;#7A263A;#E7D7B8;#1F1A17,velvet;patterned textile;brass-look metal;wood;frosted glass,purchase-or-rental-set,"Secure against tipping; keep exits, sprinklers, and service paths clear.",decor/arabian-majlis/table-setting-01,Patterned area-rug zone;Arabian Majlis;event decor;party rental
