cake_design_id,theme_id,event_types,style_name,shape,suggested_tiers,frosting_or_covering,palette_hex,design_elements,topper_guidance,finish,serving_range,price_tier,allergen_notes,structural_notes,ar_asset_key
arabian-majlis-cake-03,arabian-majlis,engagement;wedding;family-gathering;corporate;ramadan-iftar,Lantern-night cake,round,1-3,navy buttercream,#123C36;#C79A4A;#7A263A;#E7D7B8;#1F1A17,navy buttercream;gold stars;lantern silhouette topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/arabian-majlis/design-03
sports-hobby-cake-01,sports-hobby,birthday;kids-birthday;corporate;team-celebration;graduation,Team-color drip cake,round,1-3,team-color buttercream,#FFFFFF;#1E4E8C;#D62828;#2A9D5B;#222222,team-color buttercream;contrast drip;name topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/sports-hobby/design-01
sports-hobby-cake-02,sports-hobby,birthday;kids-birthday;corporate;team-celebration;graduation,Jersey number cake,sheet,1-2,buttercream jersey graphic,#FFFFFF;#1E4E8C;#D62828;#2A9D5B;#222222,buttercream jersey graphic;number and name,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/sports-hobby/design-02
sports-hobby-cake-03,sports-hobby,birthday;kids-birthday;corporate;team-celebration;graduation,Hobby silhouette cake,round,1-3,neutral buttercream,#FFFFFF;#1E4E8C;#D62828;#2A9D5B;#222222,neutral buttercream;edible silhouette graphics;accent colors,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/sports-hobby/design-03
rainbow-bright-pop-cake-01,rainbow-bright-pop,birthday;kids-birthday;graduation;pride-event;corporate,Rainbow arch cake,round,1-3,white buttercream,#F94144;#F8961E;#F9C74F;#43AA8B;#577590;#9B5DE5,white buttercream;stacked rainbow arches,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/rainbow-bright-pop/design-01
rainbow-bright-pop-cake-02,rainbow-bright-pop,birthday;kids-birthday;graduation;pride-event;corporate,Color-block pop cake,square,1-2,six bright fondant panels,#F94144;#F8961E;#F9C74F;#43AA8B;#577590;#9B5DE5,six bright fondant panels;white topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/rainbow-bright-pop/design-02
rainbow-bright-pop-cake-03,rainbow-bright-pop,birthday;kids-birthday;graduation;pride-event;corporate,Confetti stripe cake,round,1-3,bright horizontal stripes,#F94144;#F8961E;#F9C74F;#43AA8B;#577590;#9B5DE5,bright horizontal stripes;edible confetti sprinkles,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/rainbow-bright-pop/design-03
farmhouse-cake-01,farmhouse,birthday;baby-shower;wedding;family-party;harvest-event,Gingham berry cake,round,1-3,white buttercream,#F7F3E8;#C8B99C;#6E7F5B;#A64B3C;#3B3A32,white buttercream;red gingham band;edible berries,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/farmhouse/design-01
farmhouse-cake-02,farmhouse,birthday;baby-shower;wedding;family-party;harvest-event,Farmhouse floral cake,round,1-2,cream buttercream,#F7F3E8;#C8B99C;#6E7F5B;#A64B3C;#3B3A32,cream buttercream;small meadow flowers;wood-look topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/farmhouse/design-02
farmhouse-cake-03,farmhouse,birthday;baby-shower;wedding;family-party;harvest-event,Apple-cinnamon style cake,round,1-3,beige buttercream,#F7F3E8;#C8B99C;#6E7F5B;#A64B3C;#3B3A32,beige buttercream;caramel drip;edible apple slices,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/farmhouse/design-03
art-deco-cake-01,art-deco,wedding;birthday;corporate-gala;anniversary;engagement,Black gold fan cake,square,1-3,black fondant,#0B0B0B;#D4AF37;#F5E9D4;#0E5A4F;#7A1734,black fondant;gold fan lines;emerald accent,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/art-deco/design-01
art-deco-cake-02,art-deco,wedding;birthday;corporate-gala;anniversary;engagement,Ivory stepped cake,square,1-2,ivory fondant,#0B0B0B;#D4AF37;#F5E9D4;#0E5A4F;#7A1734,ivory fondant;black stepped panels;gold bead border,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/art-deco/design-02
art-deco-cake-03,art-deco,wedding;birthday;corporate-gala;anniversary;engagement,Emerald deco tier cake,round,1-3,emerald fondant,#0B0B0B;#D4AF37;#F5E9D4;#0E5A4F;#7A1734,emerald fondant;gold geometric bands;black base tier,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/art-deco/design-03
enchanted-forest-cake-01,enchanted-forest,wedding;birthday;kids-birthday;engagement;themed-party,Woodland bark cake,round,1-3,chocolate bark texture,#173F2A;#557A46;#8A6B45;#D8C7A0;#F7F1DF,chocolate bark texture;green crumb moss;edible mushrooms,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/enchanted-forest/design-01
enchanted-forest-cake-02,enchanted-forest,wedding;birthday;kids-birthday;engagement;themed-party,Forest floral cake,round,1-2,deep green buttercream,#173F2A;#557A46;#8A6B45;#D8C7A0;#F7F1DF,deep green buttercream;small sugar flowers;wood topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/enchanted-forest/design-02
enchanted-forest-cake-03,enchanted-forest,wedding;birthday;kids-birthday;engagement;themed-party,Stone-and-moss cake,round,1-3,grey stone buttercream,#173F2A;#557A46;#8A6B45;#D8C7A0;#F7F1DF,grey stone buttercream;green crumb accents;warm-light topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/enchanted-forest/design-03
celestial-night-cake-01,celestial-night,birthday;engagement;wedding;graduation;corporate,Gold constellation cake,round,1-3,navy fondant,#0D1B3D;#263B73;#C7A84A;#E8E2D1;#8D7BBE,navy fondant;gold constellation lines;moon topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/celestial-night/design-01
celestial-night-cake-02,celestial-night,birthday;engagement;wedding;graduation;corporate,Midnight ombre cake,round,1-2,navy-to-lavender buttercream,#0D1B3D;#263B73;#C7A84A;#E8E2D1;#8D7BBE,navy-to-lavender buttercream;silver stars,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/celestial-night/design-02
celestial-night-cake-03,celestial-night,birthday;engagement;wedding;graduation;corporate,Moon phase cake,round,1-3,cream buttercream,#0D1B3D;#263B73;#C7A84A;#E8E2D1;#8D7BBE,cream buttercream;gold moon phases;dark base tier,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/celestial-night/design-03
corporate-brand-cake-01,corporate-brand,corporate;product-launch;conference;store-opening;team-event,Logo plaque cake,square,1-3,white fondant,#FFFFFF;#1F2937;#2563EB;#E5E7EB;#111827,white fondant;edible printed logo;brand-color edge,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/corporate-brand/design-01
corporate-brand-cake-02,corporate-brand,corporate;product-launch;conference;store-opening;team-event,Brand-color geometric cake,round,1-2,brand-color panels,#FFFFFF;#1F2937;#2563EB;#E5E7EB;#111827,brand-color panels;minimal topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/corporate-brand/design-02
corporate-brand-cake-03,corporate-brand,corporate;product-launch;conference;store-opening;team-event,Product-launch sheet cake,sheet,1-3,smooth buttercream,#FFFFFF;#1F2937;#2563EB;#E5E7EB;#111827,smooth buttercream;edible print;clean border,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/corporate-brand/design-03
baby-safari-cake-01,baby-safari,baby-shower;first-birthday;kids-birthday;gender-neutral-shower,Baby animal topper cake,round,1-3,sage buttercream,#DDE7C7;#AFC58B;#D9B38C;#F4E6CF;#6B7A4A,sage buttercream;fondant baby animals;name plaque,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/baby-safari/design-01
baby-safari-cake-02,baby-safari,baby-shower;first-birthday;kids-birthday;gender-neutral-shower,Safari leaf cake,round,1-2,cream buttercream,#DDE7C7;#AFC58B;#D9B38C;#F4E6CF;#6B7A4A,cream buttercream;painted leaves;giraffe topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/baby-safari/design-02
baby-safari-cake-03,baby-safari,baby-shower;first-birthday;kids-birthday;gender-neutral-shower,Neutral first-birthday cake,round,1-3,beige buttercream,#DDE7C7;#AFC58B;#D9B38C;#F4E6CF;#6B7A4A,beige buttercream;small animal faces;number one topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/baby-safari/design-03
candy-pop-cake-01,candy-pop,kids-birthday;birthday;school-event;product-launch,Candy stripe cake,round,1-3,pink and white striped buttercream,#FF5FA2;#7ED6FF;#FFE66D;#B8F2A1;#FFFFFF,pink and white striped buttercream;lollipop topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-80,standard-to-premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/candy-pop/design-01
candy-pop-cake-02,candy-pop,kids-birthday;birthday;school-event;product-launch,Pastel sprinkle cake,round,1-2,blue buttercream,#FF5FA2;#7ED6FF;#FFE66D;#B8F2A1;#FFFFFF,blue buttercream;edible sprinkles;drip,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth or lightly textured buttercream,12-50,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/candy-pop/design-02
candy-pop-cake-03,candy-pop,kids-birthday;birthday;school-event;product-launch,Sweet-shop tier cake,round,1-3,color-block fondant,#FF5FA2;#7ED6FF;#FFE66D;#B8F2A1;#FFFFFF,color-block fondant;wrapped-candy motifs;name topper,"Use a food-safe acrylic, cardstock, chocolate, or fondant topper sized to the top tier.",smooth fondant,20-100,premium,Final allergen and dietary suitability must be confirmed by the bakery; visual design does not prove ingredient safety.,Use internal cake boards and dowels for stacked tiers; bakery must approve topper and decoration weights.,cake/candy-pop/design-03
