assignment_id,reviewer_slot,scenario_id,event_type,venue_type,guest_count,room_length_m,room_width_m,budget_pkr,age_group,time_of_day,preferred_color,preferred_style,current_theme_label,current_cake_label,current_decor_label,current_layout_label,expert_theme_label,expert_cake_label,expert_decor_label,expert_layout_label,expert_confidence,expert_role,expert_id,review_decision,comments,reviewed_at_utc
BSAR0146-R2,2,BSAR0146,wedding,restaurant,17,7.8,4.7,121000,adult,night,red,rustic,rustic_natural,single_tier_square,flower_wall,single_cake_table,,,,,,,,,,
BSAR0170-R1,1,BSAR0170,graduation,hall,35,11.1,6.1,87000,teenager,day,green,minimal,rustic_natural,single_tier_square,minimal_backdrop,cake_and_dessert_table,,,,,,,,,,
BSAR0170-R2,2,BSAR0170,graduation,hall,35,11.1,6.1,87000,teenager,day,green,minimal,rustic_natural,single_tier_square,minimal_backdrop,cake_and_dessert_table,,,,,,,,,,
BSAR0183-R1,1,BSAR0183,baby_shower,hall,67,12,9.1,241000,mixed,night,mixed,elegant,rustic_natural,two_tier_round,rustic_wood_setup,cake_and_dessert_table,,,,,,,,,,
BSAR0183-R2,2,BSAR0183,baby_shower,hall,67,12,9.1,241000,mixed,night,mixed,elegant,rustic_natural,two_tier_round,rustic_wood_setup,cake_and_dessert_table,,,,,,,,,,
BSAR0196-R1,1,BSAR0196,baby_shower,restaurant,70,11.6,7.3,149000,adult,day,green,rustic,rustic_natural,two_tier_floral,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0196-R2,2,BSAR0196,baby_shower,restaurant,70,11.6,7.3,149000,adult,day,green,rustic,rustic_natural,two_tier_floral,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0318-R1,1,BSAR0318,birthday,home,20,6.6,4.9,115000,adult,day,white,rustic,rustic_natural,single_tier_square,flower_wall,single_cake_table,,,,,,,,,,
BSAR0318-R2,2,BSAR0318,birthday,home,20,6.6,4.9,115000,adult,day,white,rustic,rustic_natural,single_tier_square,flower_wall,single_cake_table,,,,,,,,,,
BSAR0322-R1,1,BSAR0322,wedding,outdoor,30,10.4,6.9,120000,adult,day,green,minimal,rustic_natural,single_tier_square,rustic_wood_setup,cake_and_dessert_table,,,,,,,,,,
BSAR0322-R2,2,BSAR0322,wedding,outdoor,30,10.4,6.9,120000,adult,day,green,minimal,rustic_natural,single_tier_square,rustic_wood_setup,cake_and_dessert_table,,,,,,,,,,
BSAR0355-R1,1,BSAR0355,wedding,hall,50,10.9,8.4,112000,mixed,night,white,rustic,rustic_natural,two_tier_round,minimal_backdrop,cake_and_dessert_table,,,,,,,,,,
BSAR0355-R2,2,BSAR0355,wedding,hall,50,10.9,8.4,112000,mixed,night,white,rustic,rustic_natural,two_tier_round,minimal_backdrop,cake_and_dessert_table,,,,,,,,,,
BSAR0142-R1,1,BSAR0142,graduation,restaurant,15,6.3,3.8,44000,mixed,night,red,colourful,colourful_cartoon,single_tier_square,minimal_backdrop,single_cake_table,,,,,,,,,,
BSAR0142-R2,2,BSAR0142,graduation,restaurant,15,6.3,3.8,44000,mixed,night,red,colourful,colourful_cartoon,single_tier_square,minimal_backdrop,single_cake_table,,,,,,,,,,
BSAR0149-R1,1,BSAR0149,birthday,outdoor,121,18.4,11.4,525000,adult,day,pink,colourful,colourful_cartoon,three_tier_luxury,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0149-R2,2,BSAR0149,birthday,outdoor,121,18.4,11.4,525000,adult,day,pink,colourful,colourful_cartoon,three_tier_luxury,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0173-R1,1,BSAR0173,birthday,hall,89,12.5,11,817000,teenager,day,mixed,minimal,colourful_cartoon,two_tier_round,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0173-R2,2,BSAR0173,birthday,hall,89,12.5,11,817000,teenager,day,mixed,minimal,colourful_cartoon,two_tier_round,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0177-R1,1,BSAR0177,graduation,home,16,6.7,3.6,99000,mixed,day,mixed,colourful,colourful_cartoon,single_tier_round,rustic_wood_setup,single_cake_table,,,,,,,,,,
BSAR0177-R2,2,BSAR0177,graduation,home,16,6.7,3.6,99000,mixed,day,mixed,colourful,colourful_cartoon,single_tier_round,rustic_wood_setup,single_cake_table,,,,,,,,,,
BSAR0245-R1,1,BSAR0245,birthday,restaurant,109,13.7,9.2,827000,teenager,night,mixed,colourful,colourful_cartoon,two_tier_floral,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0245-R2,2,BSAR0245,birthday,restaurant,109,13.7,9.2,827000,teenager,night,mixed,colourful,colourful_cartoon,two_tier_floral,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0254-R1,1,BSAR0254,anniversary,hall,185,21.4,11.3,371000,adult,day,mixed,colourful,colourful_cartoon,three_tier_luxury,minimal_backdrop,full_stage_setup,,,,,,,,,,
BSAR0254-R2,2,BSAR0254,anniversary,hall,185,21.4,11.3,371000,adult,day,mixed,colourful,colourful_cartoon,three_tier_luxury,minimal_backdrop,full_stage_setup,,,,,,,,,,
BSAR0295-R1,1,BSAR0295,anniversary,hall,215,25.4,15,990000,adult,night,mixed,colourful,colourful_cartoon,three_tier_luxury,flower_wall,full_stage_setup,,,,,,,,,,
BSAR0295-R2,2,BSAR0295,anniversary,hall,215,25.4,15,990000,adult,night,mixed,colourful,colourful_cartoon,three_tier_luxury,flower_wall,full_stage_setup,,,,,,,,,,
BSAR0358-R1,1,BSAR0358,birthday,hall,39,10,6.9,177000,child,night,red,colourful,colourful_cartoon,two_tier_round,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0358-R2,2,BSAR0358,birthday,hall,39,10,6.9,177000,child,night,red,colourful,colourful_cartoon,two_tier_round,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0397-R1,1,BSAR0397,anniversary,home,62,9.5,7.7,249000,mixed,day,pink,colourful,colourful_cartoon,two_tier_floral,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0397-R2,2,BSAR0397,anniversary,home,62,9.5,7.7,249000,mixed,day,pink,colourful,colourful_cartoon,two_tier_floral,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0401-R1,1,BSAR0401,birthday,hall,81,15.7,8.4,310000,teenager,night,green,colourful,colourful_cartoon,two_tier_floral,flower_wall,two_side_tables,,,,,,,,,,
BSAR0401-R2,2,BSAR0401,birthday,hall,81,15.7,8.4,310000,teenager,night,green,colourful,colourful_cartoon,two_tier_floral,flower_wall,two_side_tables,,,,,,,,,,
BSAR0423-R1,1,BSAR0423,birthday,hall,119,16.5,11.3,438000,child,day,blue,colourful,colourful_cartoon,two_tier_floral,flower_wall,full_stage_setup,,,,,,,,,,
BSAR0423-R2,2,BSAR0423,birthday,hall,119,16.5,11.3,438000,child,day,blue,colourful,colourful_cartoon,two_tier_floral,flower_wall,full_stage_setup,,,,,,,,,,
BSAR0427-R1,1,BSAR0427,birthday,hall,24,8.8,5.8,79000,child,day,pink,traditional,colourful_cartoon,single_tier_round,balloon_setup,single_cake_table,,,,,,,,,,
BSAR0427-R2,2,BSAR0427,birthday,hall,24,8.8,5.8,79000,child,day,pink,traditional,colourful_cartoon,single_tier_round,balloon_setup,single_cake_table,,,,,,,,,,
BSAR0482-R1,1,BSAR0482,birthday,hall,74,12.6,11.2,141000,teenager,day,mixed,colourful,colourful_cartoon,two_tier_round,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0482-R2,2,BSAR0482,birthday,hall,74,12.6,11.2,141000,teenager,day,mixed,colourful,colourful_cartoon,two_tier_round,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0492-R1,1,BSAR0492,baby_shower,home,84,10.3,8.4,219000,adult,day,pink,colourful,colourful_cartoon,two_tier_round,balloon_setup,two_side_tables,,,,,,,,,,
BSAR0492-R2,2,BSAR0492,baby_shower,home,84,10.3,8.4,219000,adult,day,pink,colourful,colourful_cartoon,two_tier_round,balloon_setup,two_side_tables,,,,,,,,,,
BSAR0499-R1,1,BSAR0499,birthday,hall,172,21.6,14.7,1110000,teenager,day,mixed,colourful,colourful_cartoon,three_tier_luxury,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0499-R2,2,BSAR0499,birthday,hall,172,21.6,14.7,1110000,teenager,day,mixed,colourful,colourful_cartoon,three_tier_luxury,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0501-R1,1,BSAR0501,anniversary,hall,131,15.8,12.9,691000,adult,day,mixed,minimal,colourful_cartoon,three_tier_luxury,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0501-R2,2,BSAR0501,anniversary,hall,131,15.8,12.9,691000,adult,day,mixed,minimal,colourful_cartoon,three_tier_luxury,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0523-R1,1,BSAR0523,birthday,hall,147,21.7,12.2,785000,adult,day,red,traditional,colourful_cartoon,three_tier_luxury,flower_wall,full_stage_setup,,,,,,,,,,
BSAR0523-R2,2,BSAR0523,birthday,hall,147,21.7,12.2,785000,adult,day,red,traditional,colourful_cartoon,three_tier_luxury,flower_wall,full_stage_setup,,,,,,,,,,
BSAR0536-R1,1,BSAR0536,baby_shower,hall,246,24.2,12.8,881000,adult,day,pink,colourful,colourful_cartoon,three_tier_luxury,rustic_wood_setup,full_stage_setup,,,,,,,,,,
BSAR0536-R2,2,BSAR0536,baby_shower,hall,246,24.2,12.8,881000,adult,day,pink,colourful,colourful_cartoon,three_tier_luxury,rustic_wood_setup,full_stage_setup,,,,,,,,,,
BSAR0578-R1,1,BSAR0578,birthday,outdoor,11,6.7,4.6,28000,teenager,day,green,colourful,colourful_cartoon,single_tier_round,minimal_backdrop,single_cake_table,,,,,,,,,,
BSAR0578-R2,2,BSAR0578,birthday,outdoor,11,6.7,4.6,28000,teenager,day,green,colourful,colourful_cartoon,single_tier_round,minimal_backdrop,single_cake_table,,,,,,,,,,
BSAR0579-R1,1,BSAR0579,graduation,restaurant,71,12.4,7,176000,mixed,day,mixed,colourful,colourful_cartoon,two_tier_floral,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0579-R2,2,BSAR0579,graduation,restaurant,71,12.4,7,176000,mixed,day,mixed,colourful,colourful_cartoon,two_tier_floral,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0072-R1,1,BSAR0072,anniversary,hall,22,6.2,5.3,81000,adult,day,gold,elegant,traditional_luxury,single_tier_square,balloon_setup,single_cake_table,,,,,,,,,,
BSAR0072-R2,2,BSAR0072,anniversary,hall,22,6.2,5.3,81000,adult,day,gold,elegant,traditional_luxury,single_tier_square,balloon_setup,single_cake_table,,,,,,,,,,
BSAR0115-R1,1,BSAR0115,anniversary,hall,22,8.8,5.6,138000,adult,night,purple,elegant,traditional_luxury,single_tier_round,flower_wall,single_cake_table,,,,,,,,,,
BSAR0115-R2,2,BSAR0115,anniversary,hall,22,8.8,5.6,138000,adult,night,purple,elegant,traditional_luxury,single_tier_round,flower_wall,single_cake_table,,,,,,,,,,
BSAR0116-R1,1,BSAR0116,birthday,outdoor,13,7.2,4.7,51000,child,night,gold,elegant,traditional_luxury,single_tier_round,balloon_setup,single_cake_table,,,,,,,,,,
BSAR0116-R2,2,BSAR0116,birthday,outdoor,13,7.2,4.7,51000,child,night,gold,elegant,traditional_luxury,single_tier_round,balloon_setup,single_cake_table,,,,,,,,,,
BSAR0124-R1,1,BSAR0124,graduation,hall,94,15,9.8,667000,teenager,night,gold,traditional,traditional_luxury,three_tier_luxury,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0124-R2,2,BSAR0124,graduation,hall,94,15,9.8,667000,teenager,night,gold,traditional,traditional_luxury,three_tier_luxury,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0126-R1,1,BSAR0126,graduation,home,71,10.2,7.9,239000,teenager,night,purple,traditional,traditional_luxury,two_tier_floral,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0126-R2,2,BSAR0126,graduation,home,71,10.2,7.9,239000,teenager,night,purple,traditional,traditional_luxury,two_tier_floral,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0159-R1,1,BSAR0159,wedding,home,32,8.5,4.8,142000,adult,night,purple,elegant,traditional_luxury,single_tier_square,rustic_wood_setup,cake_and_dessert_table,,,,,,,,,,
BSAR0159-R2,2,BSAR0159,wedding,home,32,8.5,4.8,142000,adult,night,purple,elegant,traditional_luxury,single_tier_square,rustic_wood_setup,cake_and_dessert_table,,,,,,,,,,
BSAR0167-R1,1,BSAR0167,anniversary,hall,163,20.9,11.8,1348000,adult,night,purple,traditional,traditional_luxury,three_tier_luxury,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0167-R2,2,BSAR0167,anniversary,hall,163,20.9,11.8,1348000,adult,night,purple,traditional,traditional_luxury,three_tier_luxury,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0172-R1,1,BSAR0172,wedding,hall,48,11.6,7.1,363000,mixed,day,gold,traditional,traditional_luxury,two_tier_floral,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0172-R2,2,BSAR0172,wedding,hall,48,11.6,7.1,363000,mixed,day,gold,traditional,traditional_luxury,two_tier_floral,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0182-R1,1,BSAR0182,birthday,hall,24,7.4,5.7,78000,child,day,gold,elegant,traditional_luxury,single_tier_round,rustic_wood_setup,single_cake_table,,,,,,,,,,
BSAR0182-R2,2,BSAR0182,birthday,hall,24,7.4,5.7,78000,child,day,gold,elegant,traditional_luxury,single_tier_round,rustic_wood_setup,single_cake_table,,,,,,,,,,
BSAR0195-R1,1,BSAR0195,wedding,outdoor,80,13.8,8.1,201000,adult,night,gold,elegant,traditional_luxury,two_tier_floral,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0195-R2,2,BSAR0195,wedding,outdoor,80,13.8,8.1,201000,adult,night,gold,elegant,traditional_luxury,two_tier_floral,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0203-R1,1,BSAR0203,wedding,home,11,4.5,3.7,43000,adult,day,green,traditional,traditional_luxury,single_tier_round,balloon_setup,single_cake_table,,,,,,,,,,
BSAR0203-R2,2,BSAR0203,wedding,home,11,4.5,3.7,43000,adult,day,green,traditional,traditional_luxury,single_tier_round,balloon_setup,single_cake_table,,,,,,,,,,
BSAR0262-R1,1,BSAR0262,wedding,hall,15,6.3,4.8,220000,mixed,night,gold,traditional,traditional_luxury,single_tier_round,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0262-R2,2,BSAR0262,wedding,hall,15,6.3,4.8,220000,mixed,night,gold,traditional,traditional_luxury,single_tier_round,luxury_stage,full_stage_setup,,,,,,,,,,
BSAR0303-R1,1,BSAR0303,wedding,hall,83,12.7,8.4,361000,mixed,day,red,traditional,traditional_luxury,two_tier_round,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0303-R2,2,BSAR0303,wedding,hall,83,12.7,8.4,361000,mixed,day,red,traditional,traditional_luxury,two_tier_round,rustic_wood_setup,two_side_tables,,,,,,,,,,
BSAR0310-R1,1,BSAR0310,anniversary,home,84,12.9,6.8,431000,adult,day,gold,traditional,traditional_luxury,two_tier_floral,flower_wall,two_side_tables,,,,,,,,,,
BSAR0310-R2,2,BSAR0310,anniversary,home,84,12.9,6.8,431000,adult,day,gold,traditional,traditional_luxury,two_tier_floral,flower_wall,two_side_tables,,,,,,,,,,
BSAR0337-R1,1,BSAR0337,birthday,restaurant,203,23.6,12.9,424000,adult,day,gold,traditional,traditional_luxury,three_tier_luxury,balloon_setup,two_side_tables,,,,,,,,,,
BSAR0337-R2,2,BSAR0337,birthday,restaurant,203,23.6,12.9,424000,adult,day,gold,traditional,traditional_luxury,three_tier_luxury,balloon_setup,two_side_tables,,,,,,,,,,
BSAR0403-R1,1,BSAR0403,baby_shower,hall,16,6.5,3.8,45000,adult,night,gold,traditional,traditional_luxury,single_tier_round,minimal_backdrop,single_cake_table,,,,,,,,,,
BSAR0403-R2,2,BSAR0403,baby_shower,hall,16,6.5,3.8,45000,adult,night,gold,traditional,traditional_luxury,single_tier_round,minimal_backdrop,single_cake_table,,,,,,,,,,
BSAR0420-R1,1,BSAR0420,baby_shower,hall,209,20.9,14,529000,adult,day,gold,traditional,traditional_luxury,three_tier_luxury,rustic_wood_setup,full_stage_setup,,,,,,,,,,
BSAR0420-R2,2,BSAR0420,baby_shower,hall,209,20.9,14,529000,adult,day,gold,traditional,traditional_luxury,three_tier_luxury,rustic_wood_setup,full_stage_setup,,,,,,,,,,
BSAR0483-R1,1,BSAR0483,wedding,restaurant,121,17.7,9.7,261000,mixed,day,gold,elegant,traditional_luxury,three_tier_luxury,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0483-R2,2,BSAR0483,wedding,restaurant,121,17.7,9.7,261000,mixed,day,gold,elegant,traditional_luxury,three_tier_luxury,minimal_backdrop,two_side_tables,,,,,,,,,,
BSAR0511-R1,1,BSAR0511,wedding,outdoor,45,12.6,7.8,252000,adult,night,gold,elegant,traditional_luxury,two_tier_round,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0511-R2,2,BSAR0511,wedding,outdoor,45,12.6,7.8,252000,adult,night,gold,elegant,traditional_luxury,two_tier_round,flower_wall,cake_and_dessert_table,,,,,,,,,,
BSAR0553-R1,1,BSAR0553,wedding,hall,31,10.6,5.6,77000,adult,night,red,traditional,traditional_luxury,single_tier_square,balloon_setup,cake_and_dessert_table,,,,,,,,,,
BSAR0553-R2,2,BSAR0553,wedding,hall,31,10.6,5.6,77000,adult,night,red,traditional,traditional_luxury,single_tier_square,balloon_setup,cake_and_dessert_table,,,,,,,,,,
